region,code_circ,nom_circ,nb_bv,inscrits,votants,taux_participation,bulletins_nuls,suf_exprimes,blancs_nombre,blancs_pct,parti,nom_candidat,voix_obtenues,pourcentage,est_elu,page_source
TONKPI,196,"FAGNAMPLEU, GBANGBEGOUINE-YATI, PODIAGOUINE, SANDOUGOU-SOBA, SANGOUINE ET ZAGOUE, COMMUNES ET SOUS-PREFECTURES, MAN, SOUS-PREFECTURE",132,39659,17734,44.72,738,16996,243,1.43,RHDP,DION REMI,5634,33.15,OUI,34
TONKPI,196,"FAGNAMPLEU, GBANGBEGOUINE-YATI, PODIAGOUINE, SANDOUGOU-SOBA, SANGOUINE ET ZAGOUE, COMMUNES ET SOUS-PREFECTURES, MAN, SOUS-PREFECTURE",132,39659,17734,44.72,738,16996,243,1.43,INDEPENDANT,GOGBEU MAMADOU,455,2.68,NON,34
TONKPI,196,"FAGNAMPLEU, GBANGBEGOUINE-YATI, PODIAGOUINE, SANDOUGOU-SOBA, SANGOUINE ET ZAGOUE, COMMUNES ET SOUS-PREFECTURES, MAN, SOUS-PREFECTURE",132,39659,17734,44.72,738,16996,243,1.43,GP-PAIX,BONTA GOUE FERNAND,191,1.12,NON,34
TONKPI,196,"FAGNAMPLEU, GBANGBEGOUINE-YATI, PODIAGOUINE, SANDOUGOU-SOBA, SANGOUINE ET ZAGOUE, COMMUNES ET SOUS-PREFECTURES, MAN, SOUS-PREFECTURE",132,39659,17734,44.72,738,16996,243,1.43,MIRDEP,GUE LIAN VICTOR,179,1.05,NON,34
TONKPI,196,"FAGNAMPLEU, GBANGBEGOUINE-YATI, PODIAGOUINE, SANDOUGOU-SOBA, SANGOUINE ET ZAGOUE, COMMUNES ET SOUS-PREFECTURES, MAN, SOUS-PREFECTURE",132,39659,17734,44.72,738,16996,243,1.43,INDEPENDANT,MOMINE YAOUE ALEXIS,154,0.91,NON,34
TONKPI,196,"FAGNAMPLEU, GBANGBEGOUINE-YATI, PODIAGOUINE, SANDOUGOU-SOBA, SANGOUINE ET ZAGOUE, COMMUNES ET SOUS-PREFECTURES, MAN, SOUS-PREFECTURE",132,39659,17734,44.72,738,16996,243,1.43,FPI,SIA ANDRE,3909,23.0,NON,34
TONKPI,197,"MAN, COMMUNE",172,64408,22399,34.78,446,21953,128,0.58,INDEPENDANT,ENSEMBLE POUR MAN,8117,36.97,NON,34
TONKPI,197,"MAN, COMMUNE",172,64408,22399,34.78,446,21953,128,0.58,INDEPENDANT,TOUS POUR LE CHANGEMENT,326,1.48,NON,34
TONKPI,197,"MAN, COMMUNE",172,64408,22399,34.78,446,21953,128,0.58,RHDP,"UNE COTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",13382,60.96,OUI,34
TONKPI,198,"BANNEU, TEAPLEU, YELLEU ET ZOUAN-HOUNIEN, COMMUNES ET SOUS-PREFECTURES",160,48980,13295,27.14,318,12977,164,1.26,RHDP,MABRI TOIKEUSSE ALBERT ABDALLAH,11051,85.16,OUI,34
TONKPI,198,"BANNEU, TEAPLEU, YELLEU ET ZOUAN-HOUNIEN, COMMUNES ET SOUS-PREFECTURES",160,48980,13295,27.14,318,12977,164,1.26,INDEPENDANT,WONDIE KEBA DANIEL,575,4.43,NON,34
TONKPI,198,"BANNEU, TEAPLEU, YELLEU ET ZOUAN-HOUNIEN, COMMUNES ET SOUS-PREFECTURES",160,48980,13295,27.14,318,12977,164,1.26,CODE,GOUANDAI MAHAN BARTHELEMY,154,1.19,NON,34
TONKPI,198,"BANNEU, TEAPLEU, YELLEU ET ZOUAN-HOUNIEN, COMMUNES ET SOUS-PREFECTURES",160,48980,13295,27.14,318,12977,164,1.26,PDCI-RDA,PEHE TOUHOUEGBEU KEVIN,1033,7.96,NON,34
TONKPI,199,"BIN-HOUYE ET GOULALEU, COMMUNES ET SOUS- PREFECTURES",59,15441,7970,51.62,507,7463,80,1.07,RHDP,KOKOUSSEU TOMIN ALEXIS,1819,24.37,OUI,34
TONKPI,199,"BIN-HOUYE ET GOULALEU, COMMUNES ET SOUS- PREFECTURES",59,15441,7970,51.62,507,7463,80,1.07,INDEPENDANT,GUEI DANIN MAGLOIRE,1618,21.68,NON,34
TONKPI,199,"BIN-HOUYE ET GOULALEU, COMMUNES ET SOUS- PREFECTURES",59,15441,7970,51.62,507,7463,80,1.07,INDEPENDANT,GONGBE DOUO MACAIRE,1509,20.22,NON,34
TONKPI,199,"BIN-HOUYE ET GOULALEU, COMMUNES ET SOUS- PREFECTURES",59,15441,7970,51.62,507,7463,80,1.07,INDEPENDANT,DIKO YAKEUSSEU HERBERT,1102,14.77,NON,34
TONKPI,199,"BIN-HOUYE ET GOULALEU, COMMUNES ET SOUS- PREFECTURES",59,15441,7970,51.62,507,7463,80,1.07,PDCI-RDA,DIGONLA KEULEGBE IRENE,1335,17.89,NON,34
WORODOUGOU,200,"DJIBROSSO, FADIADOUGOU ET MORONDO, COMMUNES ET SOUS-PREFECTURES",66,20380,13373,65.62,90,13283,208,1.57,INDEPENDANT,DOUMBIA YACOUBOU AHMED,2605,19.61,NON,34
WORODOUGOU,200,"DJIBROSSO, FADIADOUGOU ET MORONDO, COMMUNES ET SOUS-PREFECTURES",66,20380,13373,65.62,90,13283,208,1.57,RHDP,KONE ABOUBACAR SIDIKI,10470,78.82,OUI,34
WORODOUGOU,201,"KANI, COMMUNE ET SOUS-PREFECTURE",41,13143,7621,57.99,143,7478,115,1.54,INDEPENDANT,YACOUBA MEITE,202,2.7,NON,34
WORODOUGOU,201,"KANI, COMMUNE ET SOUS-PREFECTURE",41,13143,7621,57.99,143,7478,115,1.54,INDEPENDANT,MEITE YAYA,4329,57.89,OUI,34
WORODOUGOU,201,"KANI, COMMUNE ET SOUS-PREFECTURE",41,13143,7621,57.99,143,7478,115,1.54,RHDP,MEITE BEN ABDOULAYE,2530,33.83,NON,34
WORODOUGOU,201,"KANI, COMMUNE ET SOUS-PREFECTURE",41,13143,7621,57.99,143,7478,115,1.54,INDEPENDANT,LADJI MEITE,302,4.04,NON,34
WORODOUGOU,202,"BOBI-DIARABANA, COMMUNE ET SOUS-PREFECTURE, SEGUELA, SOUS-PREFECTURE",60,16811,9578,56.97,69,9509,114,1.2,RHDP,DIOMANDE MAMADOU,6519,68.56,OUI,34
WORODOUGOU,202,"BOBI-DIARABANA, COMMUNE ET SOUS-PREFECTURE, SEGUELA, SOUS-PREFECTURE",60,16811,9578,56.97,69,9509,114,1.2,INDEPENDANT,FOFANA VATIECOUMBA,2567,27.0,NON,34
WORODOUGOU,202,"BOBI-DIARABANA, COMMUNE ET SOUS-PREFECTURE, SEGUELA, SOUS-PREFECTURE",60,16811,9578,56.97,69,9509,114,1.2,INDEPENDANT,FOFANA LOSSENI,309,3.25,NON,34
WORODOUGOU,203,"SEGUELA, COMMUNE",55,20148,7201,35.74,80,7121,171,2.4,INDEPENDANT,SOUMAHORO ADAMA,357,5.01,NON,34
WORODOUGOU,203,"SEGUELA, COMMUNE",55,20148,7201,35.74,80,7121,171,2.4,INDEPENDANT,MOUSTAPHA FALL,1214,17.05,NON,34
WORODOUGOU,203,"SEGUELA, COMMUNE",55,20148,7201,35.74,80,7121,171,2.4,RHDP,TIMITE SAHINDOU,3038,42.66,OUI,34
WORODOUGOU,203,"SEGUELA, COMMUNE",55,20148,7201,35.74,80,7121,171,2.4,INDEPENDANT,KEITA LASSINA,123,1.73,NON,34
WORODOUGOU,203,"SEGUELA, COMMUNE",55,20148,7201,35.74,80,7121,171,2.4,INDEPENDANT,FOFANA GAOUSSOU,2023,28.41,NON,34
WORODOUGOU,203,"SEGUELA, COMMUNE",55,20148,7201,35.74,80,7121,171,2.4,PDCI-RDA,ALI BAKAYOKO,195,2.74,NON,34
WORODOUGOU,204,"DUALLA ET MASSALA, COMMUNES ET SOUS- PREFECTURES",48,12876,7334,56.96,85,7249,56,0.77,INDEPENDANT,DOSSO ABOUBACAR SIDIKY,2392,33.0,NON,35
WORODOUGOU,204,"DUALLA ET MASSALA, COMMUNES ET SOUS- PREFECTURES",48,12876,7334,56.96,85,7249,56,0.77,INDEPENDANT,COULIBALY METOBA,2076,28.64,NON,35
WORODOUGOU,204,"DUALLA ET MASSALA, COMMUNES ET SOUS- PREFECTURES",48,12876,7334,56.96,85,7249,56,0.77,RHDP,DOSSO MAMADOU,2545,35.11,OUI,35
WORODOUGOU,204,"DUALLA ET MASSALA, COMMUNES ET SOUS- PREFECTURES",48,12876,7334,56.96,85,7249,56,0.77,INDEPENDANT,KONE NEDJON,7,0.1,NON,35
WORODOUGOU,204,"DUALLA ET MASSALA, COMMUNES ET SOUS- PREFECTURES",48,12876,7334,56.96,85,7249,56,0.77,INDEPENDANT,SOUMAHORO MOUSSA OUMAR,173,2.39,NON,35
WORODOUGOU,205,"KAMALO, SIFIE ET WOROFLA, COMMUNES ET SOUS- PREFECTURES",74,19878,12803,64.41,131,12672,164,1.29,RHDP,MEITE ABOULAYE,11233,88.64,OUI,35
WORODOUGOU,205,"KAMALO, SIFIE ET WOROFLA, COMMUNES ET SOUS- PREFECTURES",74,19878,12803,64.41,131,12672,164,1.29,INDEPENDANT,KONE LOSSENI,46,0.36,NON,35
WORODOUGOU,205,"KAMALO, SIFIE ET WOROFLA, COMMUNES ET SOUS- PREFECTURES",74,19878,12803,64.41,131,12672,164,1.29,INDEPENDANT,TRAORE SEKOU,646,5.1,NON,35
WORODOUGOU,205,"KAMALO, SIFIE ET WOROFLA, COMMUNES ET SOUS- PREFECTURES",74,19878,12803,64.41,131,12672,164,1.29,RDP,FOFANA SIAKA,175,1.38,NON,35
WORODOUGOU,205,"KAMALO, SIFIE ET WOROFLA, COMMUNES ET SOUS- PREFECTURES",74,19878,12803,64.41,131,12672,164,1.29,PDCI-RDA,TRAORE MATAGALY KARIDJA,408,3.22,NON,35
DISTRICT AUTONOME D'ABIDJAN,47,"YOPOUGON,COMMUNE",1320,555901,73989,13.31,2055,71934,707,0.98,RHDP,"UNE COTE DIVOIRE EN PAIX, PROPERE ET SOLIDAIRE",49017,68.14,OUI,8
